town,year,month,PM2.5
苗栗縣頭份市,2016,2,608.57
苗栗縣頭屋鄉,2016,2,720.0
雲林縣二崙鄉,2016,2,1026.0
雲林縣元長鄉,2016,2,984.0
雲林縣北港鎮,2016,2,980.0
雲林縣口湖鄉,2016,2,950.0
雲林縣古坑鄉,2016,2,1026.92
雲林縣四湖鄉,2016,2,863.33
雲林縣土庫鎮,2016,2,1032.0
雲林縣大埤鄉,2016,2,1010.0
雲林縣崙背鄉,2016,2,1050.0
雲林縣斗六市,2016,2,1041.0
雲林縣斗南鎮,2016,2,1032.0
雲林縣東勢鄉,2016,2,882.0
雲林縣林內鄉,2016,2,1005.0
雲林縣水林鄉,2016,2,982.5
雲林縣臺西鄉,2016,2,835.0
雲林縣莿桐鄉,2016,2,1026.0
雲林縣虎尾鎮,2016,2,1037.14
雲林縣褒忠鄉,2016,2,1010.0
雲林縣西螺鎮,2016,2,1005.0
雲林縣麥寮鄉,2016,2,915.0
高雄市三民區,2016,2,1200.0
高雄市仁武區,2016,2,1160.0
高雄市內門區,2016,2,1117.5
高雄市六龜區,2016,2,1105.38
高雄市前金區,2016,2,1290.0
高雄市前鎮區,2016,2,1140.0
高雄市大寮區,2016,2,1255.71
高雄市大樹區,2016,2,1187.14
高雄市大社區,2016,2,1140.0
高雄市小港區,2016,2,1230.0
高雄市岡山區,2016,2,1074.0
高雄市左營區,2016,2,1275.0
高雄市彌陀區,2016,2,1110.0
高雄市旗山區,2016,2,1126.36
高雄市旗津區,2016,2,1140.0
高雄市杉林區,2016,2,1110.0
高雄市林園區,2016,2,1130.0
高雄市桃源區,2016,2,1050.0
高雄市梓官區,2016,2,1080.0
高雄市楠梓區,2016,2,1110.0
高雄市橋頭區,2016,2,1020.0
高雄市永安區,2016,2,1110.0
高雄市湖內區,2016,2,1065.0
高雄市燕巢區,2016,2,1105.71
高雄市田寮區,2016,2,1121.25
高雄市甲仙區,2016,2,1092.86
高雄市美濃區,2016,2,1113.0
高雄市苓雅區,2016,2,1170.0
高雄市茂林區,2016,2,1110.0
高雄市茄萣區,2016,2,1080.0
高雄市路竹區,2016,2,1104.0
高雄市阿蓮區,2016,2,1110.0
高雄市鳥松區,2016,2,1190.0
高雄市鳳山區,2016,2,1215.0
高雄市鼓山區,2016,2,1270.0
南投縣中寮鄉,2016,3,1065.0
南投縣仁愛鄉,2016,3,820.0
南投縣信義鄉,2016,3,975.0
南投縣南投市,2016,3,1127.14
南投縣名間鄉,2016,3,1080.0
南投縣國姓鄉,2016,3,882.5
南投縣埔里鎮,2016,3,814.29
南投縣水里鄉,2016,3,980.0
南投縣竹山鎮,2016,3,1005.0
南投縣草屯鎮,2016,3,1042.5
南投縣集集鎮,2016,3,1040.0
南投縣魚池鄉,2016,3,878.57
南投縣鹿谷鄉,2016,3,1017.0
嘉義市東區,2016,3,1230.0
嘉義市西區,2016,3,1230.0
嘉義縣中埔鄉,2016,3,1194.0
嘉義縣六腳鄉,2016,3,1195.0
嘉義縣大埔鄉,2016,3,1152.0
嘉義縣大林鎮,2016,3,1165.0
嘉義縣太保市,2016,3,1195.71
嘉義縣布袋鎮,2016,3,1210.0
嘉義縣新港鄉,2016,3,1140.0
嘉義縣朴子市,2016,3,1230.0
嘉義縣東石鄉,2016,3,1225.71
嘉義縣梅山鄉,2016,3,1135.0
嘉義縣民雄鄉,2016,3,1178.57
嘉義縣水上鄉,2016,3,1212.0
