ID1_CITY,year,week,case_c
0738,2016,32,17
0738,2016,33,6
0738,2016,34,17
0738,2016,35,19
0738,2016,36,17
0738,2016,37,15
0738,2016,38,13
0738,2016,39,19
0738,2016,40,17
0738,2016,41,18
0738,2016,42,15
0738,2016,43,21
0738,2016,44,23
0738,2016,45,14
0738,2016,46,24
0738,2016,47,18
0738,2016,48,17
0738,2016,49,14
0738,2016,50,20
0738,2016,51,20
0738,2016,52,23
0738,2016,53,12
0738,2017,1,16
0738,2017,2,21
0738,2017,3,20
0738,2017,4,13
0738,2017,5,8
0738,2017,6,16
0738,2017,7,27
0738,2017,8,18
0738,2017,9,15
0738,2017,10,18
0738,2017,11,17
0738,2017,12,10
0738,2017,13,21
0738,2017,14,12
0738,2017,15,23
0738,2017,16,10
0738,2017,17,28
0738,2017,18,22
0738,2017,19,21
0738,2017,20,22
0738,2017,21,28
0738,2017,22,17
0738,2017,23,30
0738,2017,24,13
0738,2017,25,19
0738,2017,26,24
0738,2017,27,15
0738,2017,28,22
0738,2017,29,25
0738,2017,30,15
0738,2017,31,17
0738,2017,32,21
0738,2017,33,19
0738,2017,34,25
0738,2017,35,24
0738,2017,36,20
0738,2017,37,22
0738,2017,38,22
0738,2017,39,17
0738,2017,40,20
0738,2017,41,17
0738,2017,42,11
0738,2017,43,16
0738,2017,44,16
0738,2017,45,17
0738,2017,46,20
0738,2017,47,16
0738,2017,48,14
0738,2017,49,17
0738,2017,50,27
0738,2017,51,13
0738,2017,52,18
0738,2017,53,18
0738,2018,1,8
0738,2018,2,27
0738,2018,3,19
0738,2018,4,17
0738,2018,5,14
0738,2018,6,20
0738,2018,7,17
0738,2018,8,27
0738,2018,9,16
0738,2018,10,17
0738,2018,11,20
0738,2018,12,18
0738,2018,13,24
0738,2018,14,17
0738,2018,15,24
0738,2018,16,20
0738,2018,17,12
0738,2018,18,23
0738,2018,19,17
0738,2018,20,17
0738,2018,21,14
0738,2018,22,14
0738,2018,23,13
0738,2018,24,16
0738,2018,25,8
0738,2018,26,23
0738,2018,27,19
0738,2018,28,18
0738,2018,29,14
0738,2018,30,16
0738,2018,31,17
0738,2018,32,28
0738,2018,33,20
0738,2018,34,17
0738,2018,35,14
0738,2018,36,20
0738,2018,37,16
0738,2018,38,18
0738,2018,39,13
0738,2018,40,20
0738,2018,41,16
0738,2018,42,26
0738,2018,43,18
0738,2018,44,23
0738,2018,45,24
0738,2018,46,18
0738,2018,47,18
0738,2018,48,25
0738,2018,49,23
0738,2018,50,21
0738,2018,51,13
0738,2018,52,17
0738,2018,53,17
1101,2016,1,6
1101,2016,2,6
1101,2016,3,6
1101,2016,4,3
1101,2016,5,4
1101,2016,6,10
1101,2016,7,4
1101,2016,8,10
1101,2016,9,14
1101,2016,10,12
1101,2016,11,10
1101,2016,12,10
1101,2016,13,3
1101,2016,14,9
1101,2016,15,9
1101,2016,16,6
1101,2016,17,12
1101,2016,18,8
1101,2016,19,10
1101,2016,20,4
1101,2016,21,8
1101,2016,22,5
1101,2016,23,5
1101,2016,24,6
1101,2016,25,10
1101,2016,26,7
1101,2016,27,4
1101,2016,28,6
1101,2016,29,3
1101,2016,30,4
1101,2016,31,4
1101,2016,32,5
1101,2016,33,4
1101,2016,34,3
1101,2016,35,4
1101,2016,36,4
1101,2016,37,7
1101,2016,38,5
1101,2016,39,3
1101,2016,40,3
1101,2016,41,4
1101,2016,42,3
1101,2016,43,3
1101,2016,44,4
1101,2016,45,4
1101,2016,46,4
1101,2016,47,6
1101,2016,48,7
1101,2016,49,4
1101,2016,50,15
1101,2016,51,9
1101,2016,52,8
1101,2016,53,12
1101,2017,1,6
1101,2017,2,10
1101,2017,3,6
1101,2017,4,17
1101,2017,5,6
1101,2017,6,12
1101,2017,7,12
1101,2017,8,6
1101,2017,9,8
1101,2017,10,12
1101,2017,11,15
1101,2017,12,10
1101,2017,13,13
1101,2017,14,12
1101,2017,15,10
1101,2017,16,12
1101,2017,17,7
1101,2017,18,11
1101,2017,19,10
1101,2017,20,12
1101,2017,21,4
1101,2017,22,8
1101,2017,23,4
1101,2017,24,13
1101,2017,25,8
1101,2017,26,11
1101,2017,27,7
1101,2017,28,4
1101,2017,29,10
1101,2017,30,12
1101,2017,31,8
1101,2017,32,4
1101,2017,33,6
1101,2017,34,7
1101,2017,35,5
1101,2017,36,3
1101,2017,37,4
1101,2017,38,8
1101,2017,39,3
1101,2017,40,4
1101,2017,41,8
1101,2017,42,7
1101,2017,43,8
1101,2017,44,7
1101,2017,45,6
1101,2017,46,9
1101,2017,47,7
1101,2017,48,5
1101,2017,49,13
1101,2017,50,9
1101,2017,51,4
1101,2017,52,7
1101,2017,53,7
1101,2018,1,12
1101,2018,2,13
1101,2018,3,11
1101,2018,4,7
1101,2018,5,10
1101,2018,6,19
1101,2018,7,8
1101,2018,8,9
1101,2018,9,11
1101,2018,10,11
1101,2018,11,11
1101,2018,12,15
1101,2018,13,10
1101,2018,14,11
1101,2018,15,12
1101,2018,16,6
1101,2018,17,8
1101,2018,18,3
1101,2018,19,8
1101,2018,20,6
1101,2018,21,4
1101,2018,22,10
1101,2018,23,9
1101,2018,24,7
1101,2018,25,8
1101,2018,26,4
1101,2018,27,8
1101,2018,28,11
1101,2018,29,11
1101,2018,30,15
1101,2018,31,5
1101,2018,32,3
1101,2018,33,8
1101,2018,34,9
1101,2018,35,4
1101,2018,36,4
1101,2018,37,6
1101,2018,38,10
1101,2018,39,8
1101,2018,40,4
1101,2018,41,13
1101,2018,42,5
1101,2018,43,7
1101,2018,44,4
1101,2018,45,4
1101,2018,46,4
1101,2018,47,4
1101,2018,48,9
1101,2018,49,4
1101,2018,50,3
1101,2018,51,8
1101,2018,52,9
1101,2018,53,9
1101,2019,1,4
1101,2019,2,5
1101,2019,3,9
1101,2019,4,14
1101,2019,5,14
1101,2019,6,3
1101,2019,7,10
1101,2019,8,12
1101,2019,9,7
1101,2019,10,8
1101,2019,11,12
1101,2019,12,6
1101,2019,13,6
1101,2019,14,6
1101,2019,15,14
1101,2019,16,11
1101,2019,17,9
1101,2019,18,8
1101,2019,19,9
1101,2019,20,8
1101,2019,21,12
1101,2019,22,3
1101,2019,23,7
1101,2019,24,5
1101,2019,25,8
1101,2019,26,11
1101,2019,27,12
1101,2019,28,5
1101,2019,29,7
1101,2019,30,7
1101,2019,31,8
1101,2019,32,7
1101,2019,33,6
1101,2019,34,6
1101,2019,35,6
1101,2019,36,6
1101,2019,37,9
1101,2019,38,5
1101,2019,39,10
1101,2019,40,5
1101,2019,41,8
1101,2019,42,6
1101,2019,43,9
1101,2019,44,9
1101,2019,45,4
1101,2019,46,8
1101,2019,47,3
1101,2019,48,9
1101,2019,49,10
1101,2019,50,9
1101,2019,51,12
1101,2019,52,7
1101,2019,53,3
1104,2016,1,10
1104,2016,2,10
1104,2016,3,11
1104,2016,4,17
1104,2016,5,9
1104,2016,6,6
1104,2016,7,10
1104,2016,8,16
1104,2016,9,15
1104,2016,10,17
1104,2016,11,12
1104,2016,12,12
1104,2016,13,14
1104,2016,14,20
1104,2016,15,9
1104,2016,16,14
1104,2016,17,12
1104,2016,18,9
1104,2016,19,17
1104,2016,20,17
1104,2016,21,9
1104,2016,22,14
1104,2016,23,9
1104,2016,24,15
1104,2016,25,8
1104,2016,26,9
1104,2016,27,4
1104,2016,28,9
1104,2016,29,12
1104,2016,30,11
1104,2016,31,10
1104,2016,32,10
1104,2016,33,5
1104,2016,34,14
1104,2016,35,8
1104,2016,36,12
1104,2016,37,13
1104,2016,38,10
1104,2016,39,11
1104,2016,40,4
1104,2016,41,9
1104,2016,42,11
1104,2016,43,12
1104,2016,44,7
1104,2016,45,14
1104,2016,46,8
1104,2016,47,5
1104,2016,48,12
1104,2016,49,14
1104,2016,50,17
1104,2016,51,10
1104,2016,52,15
1104,2016,53,18
1104,2017,1,6
1104,2017,2,15
1104,2017,3,18
1104,2017,4,9
1104,2017,5,9
1104,2017,6,15
1104,2017,7,9
1104,2017,8,14
1104,2017,9,8
1104,2017,10,14
1104,2017,11,13
1104,2017,12,15
1104,2017,13,17
1104,2017,14,10
1104,2017,15,21
1104,2017,16,9
1104,2017,17,19
1104,2017,18,16
1104,2017,19,9
1104,2017,20,8
1104,2017,21,12
1104,2017,22,7
1104,2017,23,10
1104,2017,24,13
1104,2017,25,12
1104,2017,26,13
1104,2017,27,19
1104,2017,28,15
1104,2017,29,6
1104,2017,30,17
1104,2017,31,12
1104,2017,32,15
1104,2017,33,6
1104,2017,34,6
1104,2017,35,12
1104,2017,36,14
1104,2017,37,3
1104,2017,38,5
1104,2017,39,12
1104,2017,40,11
1104,2017,41,10
1104,2017,42,9
1104,2017,43,11
1104,2017,44,17
1104,2017,45,10
1104,2017,46,11
1104,2017,47,17
1104,2017,48,17
1104,2017,49,9
1104,2017,50,17
1104,2017,51,5
1104,2017,52,17
1104,2017,53,17
1104,2018,1,6
1104,2018,2,12
1104,2018,3,12
1104,2018,4,13
1104,2018,5,14
1104,2018,6,12
1104,2018,7,16
1104,2018,8,20
1104,2018,9,20
1104,2018,10,24
1104,2018,11,24
1104,2018,12,22
1104,2018,13,16
1104,2018,14,12
1104,2018,15,15
1104,2018,16,19
1104,2018,17,20
1104,2018,18,13
1104,2018,19,12
1104,2018,20,16
1104,2018,21,17
1104,2018,22,16
1104,2018,23,15
1104,2018,24,11
1104,2018,25,11
1104,2018,26,13
1104,2018,27,13
1104,2018,28,16
1104,2018,29,12
1104,2018,30,13
1104,2018,31,16
1104,2018,32,10
1104,2018,33,10
1104,2018,34,12
1104,2018,35,21
1104,2018,36,15
1104,2018,37,3
1104,2018,38,15
1104,2018,39,16
1104,2018,40,14
1104,2018,41,15
1104,2018,42,16
1104,2018,43,12
1104,2018,44,16
1104,2018,45,20
1104,2018,46,15
1104,2018,47,9
1104,2018,48,20
1104,2018,49,12
1104,2018,50,10
1104,2018,51,13
1104,2018,52,26
1104,2018,53,26
1105,2018,1,3
1105,2018,2,3
1105,2018,3,3
1105,2018,4,3
1105,2018,5,4
1105,2018,6,5
1105,2018,7,4
1105,2018,8,4
1105,2018,9,3
1105,2018,10,8
1105,2018,11,7
1105,2018,12,6
1105,2018,13,5
1105,2018,14,6
1105,2018,15,6
1105,2018,16,5
1105,2018,17,5
1105,2018,18,4
1105,2018,19,4
1105,2018,20,3
1105,2018,21,3
1105,2018,22,3
1105,2018,23,4
1105,2018,24,4
1105,2018,25,4
1105,2018,26,4
1105,2018,27,3
1105,2018,28,3
1105,2018,29,3
1105,2018,30,3
1105,2018,31,4
1105,2018,32,4
1105,2018,33,4
1105,2018,34,4
1105,2018,35,4
1105,2018,36,3
1105,2018,37,3
1105,2018,38,3
1105,2018,39,3
1105,2018,40,4
1105,2018,41,4
1105,2018,42,3
1105,2018,43,3
1105,2018,44,4
1105,2018,45,4
1105,2018,46,3
1105,2018,47,5
1105,2018,48,3
1105,2018,49,3
1105,2018,50,3
1105,2018,51,3
1105,2018,52,3
1105,2018,53,3
1107,2016,1,6
1107,2016,2,6
1107,2016,3,11
1107,2016,4,5
1107,2016,5,10
1107,2016,6,6
1107,2016,7,7
