ID1_CITY,C_NAME,year,total_pop
3109,新北市三峽區,2017,4799
3110,新北市淡水區,2017,8589
3111,新北市汐止區,2017,14939
3112,新北市瑞芳區,2017,3267
3113,新北市土城區,2017,13051
3114,新北市蘆洲區,2017,7756
3115,新北市五股區,2017,9334
3116,新北市泰山區,2017,4467
3117,新北市林口區,2017,5648
3118,新北市深坑區,2017,1769
3119,新北市石碇區,2017,299
3120,新北市坪林區,2017,295
3121,新北市三芝區,2017,977
3122,新北市石門區,2017,390
3123,新北市八里區,2017,2083
3124,新北市平溪區,2017,193
3125,新北市雙溪區,2017,176
3126,新北市貢寮區,2017,805
3127,新北市金山區,2017,1712
3128,新北市萬里區,2017,1257
3129,新北市烏來區,2017,195
3201,桃園縣桃園市,2017,36345
3202,桃園縣中壢市,2017,25435
3203,桃園縣大溪鎮,2017,4279
3204,桃園縣楊梅鎮,2017,8602
3205,桃園縣蘆竹鄉,2017,13125
3206,桃園縣大園鄉,2017,8374
3207,桃園縣龜山鄉,2017,16603
3208,桃園縣八德市,2017,8437
3209,桃園縣龍潭鄉,2017,7255
3210,桃園縣平鎮市,2017,12047
3211,桃園縣新屋鄉,2017,3339
3212,桃園縣觀音鄉,2017,5157
3213,桃園縣復興鄉,2017,521
3301,新竹縣關西鎮,2017,1224
3302,新竹縣新埔鎮,2017,1756
3303,新竹縣竹東鎮,2017,4801
3305,新竹縣竹北市,2017,14359
3306,新竹縣湖口鄉,2017,7763
3307,新竹縣橫山鄉,2017,574
3308,新竹縣新豐鄉,2017,2069
3309,新竹縣芎林鄉,2017,1029
3310,新竹縣寶山鄉,2017,1661
3311,新竹縣北埔鄉,2017,346
3312,新竹縣峨眉鄉,2017,263
3313,新竹縣尖石鄉,2017,315
3314,新竹縣五峰鄉,2017,137
3401,宜蘭縣宜蘭市,2017,9559
3402,宜蘭縣羅東鎮,2017,4140
3403,宜蘭縣蘇澳鎮,2017,3477
3404,宜蘭縣頭城鎮,2017,1898
3405,宜蘭縣礁溪鄉,2017,1830
3406,宜蘭縣壯圍鄉,2017,718
3407,宜蘭縣員山鄉,2017,1459
3408,宜蘭縣冬山鄉,2017,2263
3409,宜蘭縣五結鄉,2017,2313
3410,宜蘭縣三星鄉,2017,1049
3411,宜蘭縣大同鄉,2017,173
3412,宜蘭縣南澳鄉,2017,191
3501,苗栗縣苗栗市,2017,7506
3502,苗栗縣苑裡鎮,2017,2583
3503,苗栗縣通霄鎮,2017,2085
3504,苗栗縣竹南鎮,2017,6198
3505,苗栗縣頭份鎮,2017,4035
3506,苗栗縣後龍鎮,2017,2243
3507,苗栗縣卓蘭鎮,2017,958
3508,苗栗縣大湖鄉,2017,949
3509,苗栗縣公館鄉,2017,1274
3510,苗栗縣銅鑼鄉,2017,1272
3511,苗栗縣南庄鄉,2017,486
3512,苗栗縣頭屋鄉,2017,397
3513,苗栗縣三義鄉,2017,982
3514,苗栗縣西湖鄉,2017,414
3515,苗栗縣造橋鄉,2017,692
3516,苗栗縣三灣鄉,2017,313
3517,苗栗縣獅潭鄉,2017,221
3518,苗栗縣泰安鄉,2017,205
3701,彰化縣彰化市,2017,20810
3702,彰化縣鹿港鎮,2017,8411
3703,彰化縣和美鎮,2017,4674
3704,彰化縣北斗鎮,2017,1722
3705,彰化縣員林鎮,2017,6466
3706,彰化縣溪湖鎮,2017,2667
3707,彰化縣田中鎮,2017,2066
3708,彰化縣二林鎮,2017,2761
3709,彰化縣線西鄉,2017,1040
3710,彰化縣伸港鄉,2017,1967
3711,彰化縣福興鄉,2017,2748
3712,彰化縣秀水鄉,2017,2767
3713,彰化縣花壇鄉,2017,2514
3714,彰化縣芬園鄉,2017,1076
3715,彰化縣大村鄉,2017,2895
3716,彰化縣埔鹽鄉,2017,1982
3717,彰化縣埔心鄉,2017,2088
3718,彰化縣永靖鄉,2017,1910
3719,彰化縣社頭鄉,2017,1986
3720,彰化縣二水鄉,2017,785
3721,彰化縣田尾鄉,2017,1274
3722,彰化縣埤頭鄉,2017,1648
3723,彰化縣芳苑鄉,2017,1650
3724,彰化縣大城鄉,2017,915
3725,彰化縣竹塘鄉,2017,954
3726,彰化縣溪州鄉,2017,1642
3801,南投縣南投市,2017,10895
3802,南投縣埔里鎮,2017,4012
3803,南投縣草屯鎮,2017,5444
3804,南投縣竹山鎮,2017,2774
3805,南投縣集集鎮,2017,599
3806,南投縣名間鄉,2017,1997
3807,南投縣鹿谷鄉,2017,1032
3808,南投縣中寮鄉,2017,802
3809,南投縣魚池鄉,2017,1506
3810,南投縣國姓鄉,2017,1058
3811,南投縣水里鄉,2017,878
3812,南投縣信義鄉,2017,840
3813,南投縣仁愛鄉,2017,906
3901,雲林縣斗六市,2017,15337
3902,雲林縣斗南鎮,2017,2166
3903,雲林縣虎尾鎮,2017,3482
3904,雲林縣西螺鎮,2017,2243
3905,雲林縣土庫鎮,2017,1430
3906,雲林縣北港鎮,2017,1724
3907,雲林縣古坑鄉,2017,1583
3908,雲林縣大埤鄉,2017,880
3909,雲林縣荊桐鄉,2017,1150
3910,雲林縣林內鄉,2017,870
3911,雲林縣二崙鄉,2017,1612
3912,雲林縣崙背鄉,2017,1337
3913,雲林縣麥寮鄉,2017,3064
3914,雲林縣東勢鄉,2017,712
3915,雲林縣褒忠鄉,2017,652
3916,雲林縣臺西鄉,2017,637
3917,雲林縣元長鄉,2017,1487
3918,雲林縣四湖鄉,2017,4418
3919,雲林縣口湖鄉,2017,920
3920,雲林縣水林鄉,2017,1376
4001,嘉義縣朴子市,2017,2721
4002,嘉義縣布袋鎮,2017,3041
4003,嘉義縣大林鎮,2017,2062
4004,嘉義縣民雄鄉,2017,4571
4005,嘉義縣溪口鄉,2017,783
4006,嘉義縣新港鄉,2017,2410
4007,嘉義縣六腳鄉,2017,1249
4008,嘉義縣東石鄉,2017,784
4009,嘉義縣義竹鄉,2017,775
4010,嘉義縣鹿草鄉,2017,890
4011,嘉義縣太保市,2017,2120
4012,嘉義縣水上鄉,2017,2419
4013,嘉義縣中埔鄉,2017,2826
4014,嘉義縣竹崎鄉,2017,2331
4015,嘉義縣梅山鄉,2017,1105
4016,嘉義縣番路鄉,2017,697
4017,嘉義縣大埔鄉,2017,89
4018,嘉義縣阿里山,2017,348
4301,屏東縣屏東市,2017,19141
4302,屏東縣潮州鎮,2017,2619
4303,屏東縣東港鎮,2017,2883
4304,屏東縣恆春鎮,2017,1922
4305,屏東縣萬丹鄉,2017,2076
4306,屏東縣長治鄉,2017,1396
